date_start,date_stop,campaign_id,campaign_name,objective,impressions,clicks,cpm,ctr,spend,leads,account_currency
2026-03-01,2026-03-01,120274831420778493,MT_LEADS_PEQ_VAREJO_001,OUTCOME_LEADS,18768,489,25.20,2.6055,472.95,20,BRL
2026-03-01,2026-03-01,120299701614704712,MT_LEADS_REDES_LOJAS_002,OUTCOME_LEADS,15777,385,28.19,2.4403,444.76,13,BRL
2026-03-01,2026-03-01,120299759557666597,MT_TRAFEGO_LP_001,OUTCOME_TRAFFIC,15341,324,26.32,2.1120,403.77,8,BRL
2026-03-01,2026-03-01,120229181304803814,MT_RMKT_SITE_001,OUTCOME_SALES,6165,214,54.48,3.4712,335.85,11,BRL
2026-03-01,2026-03-01,120213935476223121,MT_VIDEO_ESTOQUE_001,OUTCOME_AWARENESS,14214,218,10.09,1.5337,143.36,7,BRL
2026-03-02,2026-03-02,120274831420778493,MT_LEADS_PEQ_VAREJO_001,OUTCOME_LEADS,26363,601,19.48,2.2797,513.62,22,BRL
2026-03-02,2026-03-02,120299701614704712,MT_LEADS_REDES_LOJAS_002,OUTCOME_LEADS,20693,412,27.69,1.9910,573.00,15,BRL
2026-03-02,2026-03-02,120299759557666597,MT_TRAFEGO_LP_001,OUTCOME_TRAFFIC,22368,543,24.32,2.4276,543.95,18,BRL
2026-03-02,2026-03-02,120229181304803814,MT_RMKT_SITE_001,OUTCOME_SALES,10013,301,39.74,3.0061,397.89,18,BRL
2026-03-02,2026-03-02,120213935476223121,MT_VIDEO_ESTOQUE_001,OUTCOME_AWARENESS,53278,911,14.00,1.7099,745.89,16,BRL
2026-03-03,2026-03-03,120274831420778493,MT_LEADS_PEQ_VAREJO_001,OUTCOME_LEADS,14592,314,24.15,2.1519,352.37,21,BRL
2026-03-03,2026-03-03,120299701614704712,MT_LEADS_REDES_LOJAS_002,OUTCOME_LEADS,19338,457,42.64,2.3632,824.63,20,BRL
2026-03-03,2026-03-03,120299759557666597,MT_TRAFEGO_LP_001,OUTCOME_TRAFFIC,13475,276,22.64,2.0482,305.08,14,BRL
2026-03-03,2026-03-03,120229181304803814,MT_RMKT_SITE_001,OUTCOME_SALES,4547,179,46.24,3.9367,210.25,11,BRL
2026-03-03,2026-03-03,120213935476223121,MT_VIDEO_ESTOQUE_001,OUTCOME_AWARENESS,10501,185,19.55,1.7617,205.27,7,BRL
2026-03-04,2026-03-04,120274831420778493,MT_LEADS_PEQ_VAREJO_001,OUTCOME_LEADS,22590,540,26.00,2.3904,587.35,22,BRL
2026-03-04,2026-03-04,120299701614704712,MT_LEADS_REDES_LOJAS_002,OUTCOME_LEADS,13025,214,18.73,1.6430,243.99,11,BRL
2026-03-04,2026-03-04,120299759557666597,MT_TRAFEGO_LP_001,OUTCOME_TRAFFIC,9003,264,34.59,2.9324,311.45,13,BRL
2026-03-04,2026-03-04,120229181304803814,MT_RMKT_SITE_001,OUTCOME_SALES,9359,300,40.93,3.2055,383.03,17,BRL
2026-03-04,2026-03-04,120213935476223121,MT_VIDEO_ESTOQUE_001,OUTCOME_AWARENESS,21999,549,23.35,2.4956,513.66,9,BRL
2026-03-05,2026-03-05,120274831420778493,MT_LEADS_PEQ_VAREJO_001,OUTCOME_LEADS,26613,584,19.72,2.1944,524.87,22,BRL
2026-03-05,2026-03-05,120299701614704712,MT_LEADS_REDES_LOJAS_002,OUTCOME_LEADS,17967,331,15.73,1.8423,282.60,17,BRL
2026-03-05,2026-03-05,120299759557666597,MT_TRAFEGO_LP_001,OUTCOME_TRAFFIC,33803,648,19.07,1.9170,644.58,13,BRL
2026-03-05,2026-03-05,120229181304803814,MT_RMKT_SITE_001,OUTCOME_SALES,8998,280,34.49,3.1118,310.31,10,BRL
2026-03-05,2026-03-05,120213935476223121,MT_VIDEO_ESTOQUE_001,OUTCOME_AWARENESS,13685,395,25.83,2.8864,353.44,12,BRL
2026-03-06,2026-03-06,120274831420778493,MT_LEADS_PEQ_VAREJO_001,OUTCOME_LEADS,25994,806,25.62,3.1007,666.00,23,BRL
2026-03-06,2026-03-06,120299701614704712,MT_LEADS_REDES_LOJAS_002,OUTCOME_LEADS,10768,327,46.42,3.0368,499.88,16,BRL
2026-03-06,2026-03-06,120299759557666597,MT_TRAFEGO_LP_001,OUTCOME_TRAFFIC,21663,550,29.15,2.5389,631.48,19,BRL
2026-03-06,2026-03-06,120229181304803814,MT_RMKT_SITE_001,OUTCOME_SALES,18336,494,35.75,2.6942,655.58,21,BRL
